"","Applicant.Name_TABLE"
"1","Directv Enterprises LLC"
"2","Spectrum Five LLC"
"3","Novavision Group INC"
"4","Ligado Networks Subsidiary LLC"
"5","ES 172 LLC"
"6","Jaycee James"
"7","Hughes Network Systems LLC"
"8","SES"
"9","Dish Operating LLC"
"10","Echostar"
"11","95 License Subsidiary LLC"
"12","115 License Subsidiary LLC"
"13","Intelsat"
"14","NEW Skies Satellites BV"
"15","Jansky-Barmat Telecommunications INC"
"16","Horizons-1 Satellite LLC"
"17","Satelites Mexicanos SA DE CV"
"18","XM Radio LLC"
"19","Viasat INC"
"20","Inmarsat Hawaii INC"
"21","Hispamar Satelites SA"
"22","Satellite CD Radio LLC"
"23","Liberty Media Corporation"
"24","Sirius XM Radio INC"
"25","NEW Dbsd Satellite Services GP"
"26","Skynet Satellite Corporation"
"27","Hispasat SA"
"28","Dish Network Corporation"
"29","Alascom INC"
"30","Inmarsat Group Holdings Limited"
"31","At&T INC"
"32","Directv Latin America LLC"
"33","Leidos INC"
"34","Dbsd Services Limited"
"35","Horizons-3 License LLC"
"36","Skyfye"
"37","Telesat International Limited"
"38","Empresa Argentina DE Soluciones Satelitales SA"
"39","Yazmi USA LLC"
"40","ABS Global LTD"
"41","SKY Earth Network"
"42","Silkwave Africa LLC"
"43","Eutelsat SA"
"44","Space Logistics LLC"
"45","Telesat Canada"
"46","Inmarsat INC"
"47","Inmarsat Solutions (Us) INC"
"48","Isat US INC"
"49","Directv Entertainment Holdings LLC"
"50","Directv LLC"
"51","Telesat Spectrum Corporation"
"52","Star ONE SA"
"53","Embratel Tvsat Telecomunicacoes SA"
"54","Open Plaza Corp"
"55","Astranis Bermuda LTD"
"56","Astranis Projects USA LLC"
"57","Avanti Hylas 2 LTD"
"58","DG Consents SUB INC"
"59","Iridium Constellation LLC"
"60","Lightsquared Subsidiary LLC Debtor-In-Possession"
"61","The Boeing Company"
"62","Spaceflight INC"
"63","Exxon Communications Company"
"64","R2 Space LLC"
"65","Space Exploration"
"66","Momentus INC"
"67","Maxar License INC"
"68","DMY Technology Group INC IV"
"69","Lynk Global INC"
"70","Loft Orbital Solutions INC"
"71","Telesat Brasil Capacidade DE Satelites Ltda"
"72","WTS Live"
"73","FDA"
"74","Spire Global INC"
"75","Planet Labs"
"76","Worldvu Satellites Limited"
